443,36,504,37,504,62,443,61
170,66,277,67,277,94,170,93
483,336,552,335,553,358,483,359
655,156,716,157,716,179,654,177
316,336,376,336,376,359,316,360
348,145,411,146,410,169,347,168
428,203,487,204,487,227,427,226
435,173,481,173,481,197,435,197
174,12,235,12,235,36,174,36
382,173,430,175,430,198,381,196
581,260,624,263,622,287,579,285
230,338,275,338,276,359,231,360
663,184,723,186,722,207,663,205
98,87,138,90,137,108,97,106
316,262,357,263,356,287,315,286
387,203,423,203,423,225,386,225
477,67,516,68,515,89,477,89
316,78,358,83,356,109,313,103
404,8,446,10,446,35,403,33
446,9,488,8,488,32,447,33
584,80,623,84,621,108,582,104
628,185,658,186,657,206,628,205
405,146,447,146,446,168,404,168
429,66,460,66,460,89,429,89
549,336,614,334,615,359,549,361
410,336,443,334,443,355,411,357
387,336,411,335,412,354,388,355
518,66,557,69,555,92,517,89
621,157,644,158,643,178,621,178
344,208,363,208,363,227,344,227
382,42,406,42,405,64,382,64
725,187,753,187,753,206,725,205
